Link_Produk, Link_Gambar, Deskripsi_Singkat, Nama_Produk, Status_Stok, Label_Promo, Deskripsi_Lengkap
"https://shopee.co.id/TG-full-matte-glass-oppo-A3-A3X-A16-A16S-A16K-A16E-A18-A17-A17K-A15-A15S-A12-A12E-A12-A58-A58-A38-A98-A98-A3S-A1K-A1-A3-A7-A8-A9-A9X-A11-A11K-A11X-R15-R15X-tempered-glass-oppo-i.913643695.56200610774?extraParams=%7B%22display_model_id%22%3A297113726600%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-8224u-mgi9ycnk7mz096"",""TG full matte glass oppo A3 A3X A16 A16S A16K A16E A18 A17 A17K A15 A15S A12 A12E A12 A58 A58 A38 A98 A98 A3S A1K A1 A3 A7 A8 A9 A9X A11 A11K A11X R15 R15X tempered glass oppo"",""12.960"",""-64%"",""4.7"",""579 terjual"""
"https://shopee.co.id/Tempered-glass-bening-9D-Samsung-A16-5G-A16-4G-A13-A13-5G-A14-4G-A14-5G-A15-4G-A15-5G-A30-A30S-A31-A70-A70s-A71-A71-5G-A72-A72-5G-A80-A81-A90-A90-5G-A91-A25-5G-A24-4G-A35-5G-A34-5G-A33-5G-A32-5G-2021-A32-4G-2021-A7-2018-M42-5G-M53-M34-5G-Anti-gores-bening-i.913643695.25638584533?extraParams=%7B%22display_model_id%22%3A223537372777%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-8224u-mhvfnknk3thhb7"",""Tempered glass bening 9D Samsung A16 5G A16 4G A13 A13 5G A14 4G A14 5G A15 4G A15 5G A30 A30S A31 A70 A70s A71 A71 5G A72 A72 5G A80 A81 A90 A90 5G A91 A25 5G A24 4G A35 5G A34 5G A33 5G A32 5G 2021 A32 4G 2021 A7 2018 M42 5G M53 M34 5G Anti gores bening"",""12.950"",""-63%"",""4.7"",""2RB+ terjual"""
"https://shopee.co.id/Tempered-Glass-Bening-Redmi-Note-13-13-PRO-14-14S-11-11-PRO-11-promax-11pro-11S-anti-gores-redmi-i.913643695.40372472999?extraParams=%7B%22display_model_id%22%3A301828956393%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-81ztp-mff3xlwykg0bd8"",""Tempered Glass Bening Redmi Note 13 13 PRO 14 14S 11 11 PRO 11 promax 11pro+ 11S anti gores redmi"",""12.240"",""-66%"",""4.7"",""2RB+ terjual"""
"https://shopee.co.id/Tempered-glass-anti-spy-oppo-A5-2020-A9-2020-A32-A52-A72-A92-A92S-A38-A98-A35-anti-gores-oppo-i.913643695.23239331055?extraParams=%7B%22display_model_id%22%3A118063556520%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-7r990-lltphq6cca9z8b"",""Tempered glass anti spy oppo A5 2020 A9 2020 A32 A52 A72 A92 A92S A38 A98 A35 anti gores oppo"",""12.150"",""-73%"",""4.8"",""1RB+ terjual"""
"https://shopee.co.id/Tempered-Glass-HD-Anti-Static-samsung-A07-4G-A07-5G-A17-4G-A17-5G-A06-A06S-A05-A05S-A04-A04-Core-A04E-A04S-A03-A03-Core-A03S-A02-A02S-A10-A10S-A11-A12-Anti-gores-samsung-i.913643695.24255759205?extraParams=%7B%22display_model_id%22%3A234477996824%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-7r98r-lpzkt1ie1wu71f"",""Tempered Glass HD Anti Static samsung A07 4G A07 5G A17 4G A17 5G A06 A06S A05 A05S A04 A04 Core A04E A04S A03 A03 Core A03S A02 A02S A10 A10S A11 A12 Anti gores samsung"",""12.000"",""-60%"",""4.9"",""5RB+ terjual"""
"https://shopee.co.id/Tempered-glass-anti-spy-full-infinix-Note-40-40X-50-50-PRO-30-30i-30-VIP-30-PRO-7-8-10-10-PRO-11-11S-12-12-VIP-12i-12-12-PRO-12-G96-tempered-glass-infinix-note-i.913643695.57800614220?extraParams=%7B%22display_model_id%22%3A370055229747%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-8224r-mgiumvg4gkjx7d"",""Tempered glass anti spy full infinix Note 40 40X 50 50 PRO 30 30i 30 VIP 30 PRO 7 8 10 10 PRO 11 11S 12 12 VIP 12i 12 12 PRO 12 G96 tempered glass infinix note"",""13.320"",""-63%"",""4.8"",""521 terjual"""
"https://shopee.co.id/Tempered-Glass-Bening-SAMSUNG-A15-A16-A17-A12-A13-A14-A14-5G-A15-5G-A01-A02-A03-A03S-A04-A04S-A04e-A04-core-A05-A05s-A06-A06S-A02S-A07-A01core-A10-A10S-A10E-A11-A20-A20E-A20S-A21S-A22-A22-5G-A23-A23-5G-A24-4G-A24-FE-4G-A25-5G-A26-5G-A30-A30S-A73-A42-i.913643695.26842462315?extraParams=%7B%22display_model_id%22%3A234550624123%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-822wk-mmk5r6rpxibs78"",""Tempered Glass Bening SAMSUNG A15 A16 A17 A12 A13 A14 A14 5G A15 5G A01 A02 A03 A03S A04 A04S A04e A04 core A05 A05s A06 A06S A02S A07 A01core A10 A10S A10E A11 A20 A20E A20S A21S A22 A22 5G A23 A23 5G A24 4G A24 FE 4G A25 5G A26 5G A30 A30S A73 A42"",""12.240"",""-66%"",""4.7"",""1RB+ terjual"""
"https://shopee.co.id/TG-full-anti-spy-oppo-A17-A17K-A77-A77S-A56-A58-A78-A97-tempered-glass-oppo-i.913643695.22739323890?extraParams=%7B%22display_model_id%22%3A231493138020%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-81ztc-mfo116r52ps92f"",""TG full anti spy oppo A17 A17K A77 A77S A56 A58 A78 A97 tempered glass oppo"",""11.250"",""-75%"",""4.8"",""10RB+ terjual"""
"https://shopee.co.id/Tempered-Glass-Anti-Spy-Realme-C71-C75-C75X-C53-C53-Nfc-C55-C55-NFC-C11-C12-C15-C17-C20-C20A-C21-C21Y-C25-C25S-C25Y-C30-C31-C33-C35-tempered-glass-realme-i.913643695.23739324784?extraParams=%7B%22display_model_id%22%3A231493135646%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-8224t-mfux1374zwnd50"",""Tempered Glass Anti Spy Realme C71 C75 C75X C53 C53 Nfc C55 C55 NFC C11 C12 C15 C17 C20 C20A C21 C21Y C25 C25S C25Y C30 C31 C33 C35  tempered glass realme"",""12.150"",""-73%"",""4.8"",""5RB+ terjual"""
"https://shopee.co.id/Tempered-Glass-Anti-Spy-Samsung-A50S-A50-A60-A70-A70S-A80-A90-A11-A12-A13-A21-A21S-A23-anti-gores-samsung-i.913643695.22939321987?extraParams=%7B%22display_model_id%22%3A146818619949%2C%22model_selection_logic%22%3A2%7D,""https://down-id.img.susercontent.com/file/id-11134207-81zth-mfbhokv934suca"",""Tempered Glass Anti Spy Samsung A50S A50 A60 A70 A70S A80 A90 A11 A12 A13 A21 A21S A23 anti gores samsung"",""12.150"",""-73%"",""4.8"",""2RB+ terjual"""
